product_category_name,gmv,gmv_acumulado,prc
beleza_saude,1258681.34,1258681.34,9.38
relogios_presentes,1205005.68,2463687.02,18.37
cama_mesa_banho,1036988.68,3500675.7,26.1
esporte_lazer,988048.97,4488724.67,33.47
informatica_acessorios,911954.32,5400678.99,40.27
moveis_decoracao,729762.49,6130441.48,45.71
cool_stuff,635290.85,6765732.33,50.44
utilidades_domesticas,632248.66,7397980.99,55.16
automotivo,592720.11,7990701.1,59.58
ferramentas_jardim,485256.46,8475957.56,63.2
brinquedos,483946.6,8959904.16,66.8
bebes,411764.89,9371669.05,69.87
perfumaria,399124.87,9770793.92,72.85
telefonia,323667.53,10094461.45,75.26
moveis_escritorio,273960.7,10368422.15,77.31
papelaria,230943.23,10599365.38,79.03